model_name,video,batch_size,total_frames,gpu_compute_sec,throughput_fps,peak_gpu_gb,end_to_end_sec,rtf
vjepa2_l,1756_ao3dilukyt6fd.mp4,1x16,130,17.52,7.4,0.68,20.64,0.7939
vjepa2_l,1757_aaeaaztoinvzx.mp4,1x16,130,18.3,7.1,0.68,21.66,0.8332
vjepa2_l,1757_aebqf8o3tg8wm.mp4,1x16,130,18.06,7.2,0.68,21.31,0.8198
vjepa2_l,1765_ayt7hdvmhndz1.mp4,1x16,130,17.26,7.5,0.68,20.48,0.7876
vjepa2_l,1766_a2eh7inkqln16.mp4,1x16,130,18.08,7.2,0.68,21.32,0.82
vjepa2_l,1766_aws1oxqmaeg3d.mp4,1x16,130,17.28,7.5,0.68,20.4,0.7846
vjepa2_l,1767_ak7ro2ewn2hen.mp4,1x16,130,17.47,7.4,0.68,20.74,0.7976
vjepa2_l,1769_a3lbnazobo45s.mp4,1x16,130,18.05,7.2,0.68,21.34,0.8207
vjepa2_l,1769_akarclpi8dv1z.mp4,1x16,130,17.6,7.4,0.68,20.87,0.8027
vjepa2_l,1769_aomj4xzjyvjb3.mp4,1x16,130,18.12,7.2,0.68,21.37,0.822
vjepa2_l,1771_au5v9dd1iya1u.mp4,1x16,130,16.6,7.8,0.68,19.79,0.761
vjepa2_l,1773_a5k6fgshvjmvl.mp4,1x16,130,16.56,7.9,0.68,19.69,0.7572
vjepa2_l,1776_as3pvx4kblaoy.mp4,1x16,140,18.73,7.5,0.68,22.05,0.7874
vjepa2_l,1777_akd6w6rwzvbnw.mp4,1x16,130,18.32,7.1,0.68,21.54,0.8283
vjepa2_l,1777_al7f5c8drkjgc.mp4,1x16,130,17.08,7.6,0.68,20.23,0.7782
vjepa2_l,1783_akxegh8qnmh0c.mp4,1x16,130,17.05,7.6,0.68,20.2,0.7769
vjepa2_l,1784_a309lpf9tgfjk.mp4,1x16,130,16.53,7.9,0.68,19.74,0.7593
vjepa2_l,1784_aiyuhn5z2juhw.mp4,1x16,130,17.99,7.2,0.68,21.15,0.8136
vjepa2_l,1786_ans4q1hsh2anp.mp4,1x16,60,7.46,8.0,0.68,8.89,0.7406
vjepa2_l,1786_aslryruw4a18u.mp4,1x16,70,8.71,8.0,0.68,10.36,0.74
vjepa2_l,1799_ap1hxj7bm14zl.mp4,1x16,130,17.44,7.5,0.68,20.65,0.7942
vjepa2_l,1801_a8yatrh43znfy.mp4,1x16,130,17.21,7.6,0.68,20.35,0.7826
vjepa2_l,1805_aamuhq8h7htu4.mp4,1x16,130,16.29,8.0,0.68,19.41,0.7464
vjepa2_l,1806_abadxcihw7eo7.mp4,1x16,130,17.63,7.4,0.68,20.76,0.7983
vjepa2_l,1806_afmxk5dup5nak.mp4,1x16,130,17.67,7.4,0.68,20.78,0.7993
vjepa2_l,1808_a3hsi84d9nx1o.mp4,1x16,130,17.5,7.4,0.68,20.6,0.7923
vjepa2_l,1814_abujpl1vbmlpv.mp4,1x16,80,9.89,8.1,0.68,11.67,0.7293
vjepa2_l,1814_av54fv6tckm63.mp4,1x16,70,8.59,8.1,0.68,10.18,0.7274
vjepa2_l,1816_alz6d3trmjh1f.mp4,1x16,130,17.5,7.4,0.68,20.56,0.7909
vjepa2_l,1820_ael7opmmp0ezm.mp4,1x16,130,17.47,7.4,0.68,20.63,0.7936
vjepa2_l,1821_ah8wqifyc7s7d.mp4,1x16,130,17.29,7.5,0.68,20.34,0.7825
vjepa2_l,1821_ao2jhrnswzje2.mp4,1x16,130,17.23,7.5,0.68,20.37,0.7835
